"id","url","createdAt","is_active","type","updatedAt","count"
"121","data/Du-thao-cuoi-cua-iso-14001-2015.jpg","2017-02-23",true,"1","2017-08-08 09:53:52","164"
"122","data/cac-tieu-chuan-iso.jpg","2017-02-23",true,"1","2017-08-07 14:39:14","84"
"123","data/Tintuc/images.jpg","2017-02-23",true,"1","2017-08-08 09:51:40","107"
"124","data/Tintuc/Hinh-nen-3D__Hinhnendl.com__ (17).jpg","2017-02-23",true,"1","2017-08-08 09:51:23","96"
"126","data/Tintuc/iso-1.jpg","2017-02-23",true,"1","2017-08-08 09:51:04","79"
"127","data/Tintuc/iso_9001_2008.jpg","2017-02-23",true,"1","2017-09-19 08:52:44","87"
"112","data/Tintuc/Hinh-nen-3D__Hinhnendl.com__ (17).jpg","2017-02-23",true,"1","2024-06-20 15:53:04","2773"
"113","data/quality2_023106.jpg","2017-02-23",true,"1","2017-08-07 14:46:03","752"
"114","data/Tintuc/05thi.jpg","2016-01-15",true,"1","2017-08-07 14:45:15","143"
"115","data/Tintuc/images.jpg","2017-02-23",true,"1","2024-06-20 15:52:33","593"
"116","data/Tintuc/breder-640.jpg","2017-02-25",true,"1","2017-08-08 09:55:37","854"
"117","data/Tintuc/iso_9001_2008.jpg","2016-04-05",true,"1","2017-08-08 09:55:10","386"
"118","data/Tintuc/isso.jpg","2016-04-05",true,"1","2024-06-20 15:51:32","2116"
"119","data/Tintuc/1st-featered-project.jpg","2016-04-05",true,"1","2024-06-20 15:51:44","2136"
"120","data/Tintuc/vi-sao-phai-hoc-iso-9001.jpg","2016-04-05",true,"1","2017-08-08 09:54:16","655"
"128",,"2017-08-07",true,"1","2024-06-20 15:50:41","1359"
"129",,"2017-08-07",true,"1","2024-06-20 15:50:23","1552"
"130",,"2017-08-07",true,"1","2024-06-20 15:50:07","1528"
"131",,"2017-08-07",true,"1","2024-06-20 15:49:56","1010"
"132",,"2017-08-07",true,"1","2024-06-20 15:49:48","987"
"133","data/ghjkjdshfksdgbkjsdgbui.jpg","2017-08-07",true,"1","2024-06-20 15:49:23","2286"
"134","data/Thanh tra ATBXHN góp phần nâng cao ý thức chấp hành pháp luật, tăng hiệu lực quản lý nhà nước-1.jpg","2017-08-07",true,"1","2017-08-08 10:19:55","2946"
"135","data/TPHCM thịt heo không nguồn gốc ‘ào ào’ vào chợ, Sở Công thương kiến nghị áp chế tài mạnh.jpg","2017-08-07", true,"1","2017-08-08 10:22:06","1416"
"136","data/1234567899999.jpg","2017-08-07",true,"1","2024-06-20 15:42:18","1934"
"137","data/xuat nhap khau.jpg","2017-08-07",true,"1","2024-06-20 15:40:46","4341"
"138","data/BCT112.jpg","2017-09-15",true,"1","2024-06-20 15:40:06","2022"
"140","data/Thong bao ISO.jpg","2017-09-15",true,"1","2024-06-20 15:39:44","4670"
"141","data/Cắt giảm tối đa điều kiện kinh doanh, chuyển mạnh từ tiền kiểm sang hậu kiểm hàng hóa.jpg",true,"1","2017-10-11 10:40:33","2017"
"142","data/san pham det may.jpg","2017-10-25",true,"1","2024-06-20 15:25:36","3807"
"145","data/Untitled.jpg","2017-12-05",true,"1","2024-06-20 15:24:13","2279"
"144","data/Cam Vinh 3.jpg","2017-10-25",true,"1","2024-06-20 15:25:06","3181"
"146","data/TRuy xuat 2.jpg","2017-12-05",true,"1","2024-06-20 15:21:56","3325"
"147","data/Do choi tre em.jpg","2017-12-05",true,"1","2018-11-12 08:22:26","0"
"148","data/mu-bao-hiem3.jpg","2017-12-12",true,"1","2024-06-20 15:21:27","3340"
"149","data/toa dam BCT.jpg","2017-12-15",true,"1","2024-06-20 15:21:04","2993"
"150","data/hang nhai.jpg","2017-12-29",true,"1","2024-06-20 15:20:12","2998"
"151","data/IMG_31012018_102915_0.png","2018-01-30",true,"1","2024-06-20 15:19:21","2410"
"154","data/39080849525_af7eb70d29_o.jpg","2018-01-31",true,"1","2024-06-20 15:17:23","5119"
"153","data/IMG_31012018_101048_8.png","2018-01-30",true,"1","2024-06-20 15:18:11","2393"
"162","data/do-gia-dung-.jpg","2018-03-06",true,"1","2024-06-20 14:21:59","1485"
"155","data/Trao chung chi BQP.jpg","2018-02-11",true,"1","2024-06-20 15:03:46","2337"
"156","data/Buoi hoc 1.jpg","2018-02-11",true,"1","2024-06-20 14:43:22","2207"
"157","data/Năm 2018, gian lận thương mại,true,"1","2018-03-03 14:10:57","1410"
"158","data/con-y-te (1).png","2018-03-02",true,"1","2024-06-20 14:23:07","1920"
"161","data/thit bo nhap khau candate1.jpg","2018-03-04",true,"1","2024-06-20 14:22:32","1846"
"165","data/siet chat quan ly chat luong dam bao an toan thuc pham trong san pham nong nghiep.jpg","2018-03-11",true,"1","2024-06-20 14:20:35","1316"
"164","data/cột bơm xăng phải gắn thiết bị in hoá đơn2.jpg","2018-03-08",true,"1","2024-06-20 14:21:29","1101"
"166","data/den-12-3-2018-2.jpg","2018-03-12",true,"1","2024-06-20 14:20:23","5673"
"167","data/tcvn ve nong nghiep huu co1.jpg","2018-03-13",true,"1","2024-06-20 13:51:17","1476"
"168","data/hang-gia-14-3-2018.jpg","2018-03-14",true,"1","2024-06-20 13:50:29","1132"
"169","data/duong-15-3-2018.jpg","2018-03-15",true,"1","2024-06-20 13:49:43","2421"
"170","data/quan-ao-16-3-2018.jpg","2018-03-15",true,"1","2024-06-20 13:48:57","3503"
"171","data/cai cach hành chinh.jpg","2018-03-16",true,"1","2024-06-20 13:48:07","945"
"172","data/thit bo gia.jpg","2018-03-18",true,"1","2024-06-20 13:47:22","6561"
"173","data/hang-gia-1.jpg","2018-03-19",true,"1","2024-06-20 13:46:50","1097"
"174","data/nang cao chat luong nong san day manh xuat khau sang cac nuoc cptpp.jpg","2018-03-19",true,"1","2024-06-20 13:46:11","1506"
"175","data/hang-20-3-2018.jpg","2018-03-19",true,"1","2024-06-20 13:45:31","1079"
"176","data/Chưa phát hiện Chocopie Lotte bị thu hồi trên thị trường Hà Nội.jpg","2018-03-20",true,"1","2024-06-20 13:25:43","4032"
"177","data/phong-ve-21-3-2018.jpg","2018-03-21",true,"1","2024-06-20 13:26:28","1034"
"178","data/doanh nghiep tu cong bo chat luong thuc pham nhap khau.jpg","2018-03-21",true,"1","2024-06-20 13:28:51","983"
"179","data/gach1.jpg","2018-03-21",true,"1","2024-06-20 13:29:24","987"
"180","data/mang-boc-thuc-pham-2.jpg","2018-03-22",true,"1","2024-06-20 13:30:13","1391"
"181","data/tuong-ca2.jpg","2018-03-23",true,"1","2024-06-20 13:31:23","1254"
"182",,"2018-03-25",true,"1","2024-06-20 13:32:01","1018"
"183","data/ong tran hung.JPG","2018-03-25",true,"1","2024-06-20 13:33:22","2858"
"184","data/xuat khau go dang gap kho trong van de so huu tri tue.jpg","2018-03-27",true,"1","2024-06-20 13:34:41","1446"
